0,0,0,0,0,4,4,0,0,0,0,4,17,4,0,0,0,0,4,4,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17,4,4,4,4,4,4,4,0
0,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,4,4,4,17,4,4,4,4,4,4,4,4,4,0
0,4,4,4,4,4,16,4,4,4,4,4,16,4,4,4,4,4,16,4,4,4,4,4,0
0,4,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
0,4,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,17,4,0
0,4,4,4,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,17,4,4,4,4,0
0,4,4,4,4,4,4,4,4,17,4,4,4,4,4,4,4,17,4,4,4,4,4,4,0
0,0,0,0,0,0,0,4,16,4,4,9,10,11,4,4,16,4,0,0,0,0,0,0,0
0,4,4,4,4,4,4,4,4,4,4,13,14,15,17,4,4,4,4,4,4,4,4,4,0
0,4,17,4,4,4,4,17,4,4,0,0,0,0,0,4,4,4,4,4,17,4,4,4,0
0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0
0,17,4,4,4,4,4,4,17,4,4,4,4,4,4,4,4,4,4,4,4,4,17,4,0
0,4,4,4,4,4,16,4,4,4,4,4,4,4,4,17,4,4,16,4,4,4,4,4,0
20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,4,4,4,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,4,4,4,20,20,20,20,20,20,20,20,20,20,20
