139,139,139,139,0,0,139,139,139,139,180,139,139,139,139,0,0,139,139,139,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,4,4,4,4,0,0,4,4,4,0,0,4,4,4,4,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
139,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,139
139,2,2,2,3,3,3,3,3,0,0,0,3,3,3,3,3,2,2,2,139
139,139,139,139,139,139,139,139,139,0,0,0,139,139,139,139,139,139,139,139,139
